sentence,label,text_length,word_count,cleaned_text
@anonymized_account @anonymized_account Myslisz  że wystartuje z PO?😁😁,0,70,7,myslić wystartować 😁 😁
@anonymized_account Avatar jak z Peaky Blinders,0,47,6,avatar peaky blinders
@anonymized_account A ksiądz co bierze 12 tyś za spowiedź przez tel?,0,68,11,ksiądz brać 12 tyś spowiedź
@anonymized_account Probierz cwelu skończyłeś w burdelu!!,1,57,6,probierz cwel skończyć być burdel
@anonymized_account @anonymized_account Zaraz będą czytane pozdrowienia z Twittera.,0,83,8,zaraz czytać pozdrowienie twitter
Ktoś z trójki HJK Helsinki - Olimpija Lublana - Spartak Trnawa będzie w fazie grupowej Ligi Europy.,0,99,17,trójka Hjk helsinka olimpijać lublać spartak trnawo faza grupowy liga Europa
@anonymized_account skoro krytykujecie frekwencje to spójrzcie na inne kluby i zwróćcie też uwage w jakie dni grają a potem się czepiajcie,0,138,21,skoro krytykujecie frekwencja spójrzcie klub zwróćć uwage dzień grać potem czepiajcie
jak Patryk Jaki wygra wybory w Warszawie oczyści stolicę z byłych UBECKICH funkcjonariuszy ! #woronicza17,1,105,15,patryk wygrać wybory Warszawa oczyść stolica były ubecki funkcjonariusz woronicza17
@anonymized_account @anonymized_account Wlegi 3 Polaków na boisku nieliczac zawodników -od lat,0,94,11,wlegi 3 polak boisko nieliczac zawodnik -od rok
"Rozmowy na poczcie:\n- U mnie, przez ten remont, to istny Agramedon.\n- Amragedon chyba.\n- A tak.",0,98,15,rozmowa poczcie:\n remont istny agramedon.\n amragedon chyba.\n
"@anonymized_account Konferencje prasowe na mundialu - \""co Pan zrobi z Balem i Benzemą?\",0,88,13,"konferencja prasowy mundial \""co zrobić bal benzemą?\"
@anonymized_account @anonymized_account Podobny do waldusia kiepskiego ;-),0,74,7,podobny waldusio kiepski
@anonymized_account Pazdan celowa czerwona teraz na spokojnie może się przygotowywać do euro 2020,0,97,13,pazdan celowy czerwony spokojnie przygotowywać euro 2020
#NAME?,0,6,1,nam
"@anonymized_account Szanujmy się tam ani niebylo zaladku do podyktowania karnego, Jaga to nie legia by o nic mieć pretensje do sędziego",0,135,21,szanuć niebylo zaladek podyktowanie karny Jaga legia mieć pretensja sędzia
@anonymized_account @anonymized_account to super kreatywny by mieli środek pomocy gdyby te transfery się udały :),0,113,15,super kreatywny mieć środek pomoc transfer udać
RT @anonymized_account Ważne! W piątek kolejny warszawski radny PO przechodzi do PiS w proteście przeciwko aferze reprywatyzacyjnej. \n#Jaki2018,0,144,18,ważny piątek kolejny warszawski radny przechodzić pis protest przeciwko afera reprywatyzacyjny \n#jaki2018
@anonymized_account wróciłaś i zwycięstwo :) przypadek ? 💪,0,58,8,wróciłaś zwycięstwo przypadek 💪
@anonymized_account zagraniczne mogą być nie doinformowane a jeśli chodzi o polskie zawodniczki to na pewno się takie znajdą co tylko kasa ważna,0,144,22,zagraniczny doinformować chodzić polski zawodniczek pewno znajść kasa ważny
@anonymized_account @anonymized_account Czemu usunęliście ten zabawny artykuł ?,0,79,8,usunęć być zabawny artykuł
"RT @anonymized_account Biatlonistka Małgorzata Ruchała: \""Na pewno po ślubie nie będę nosiła podwójnego nazwiska, bo mój narzeczony nazywa się Pi…",0,146,20,"biatlonistka Małgorzata ruchać \""na pewno śluba nosić podwójny nazwisko narzeczony nazywać pi"
@anonymized_account @anonymized_account @anonymized_account a ja mam ciepełko jak się przytule do swoich kotów :),0,113,14,ciepełko przytula swój kot
RT @anonymized_account Szłapka opluwa marszałka Karczewskiego.Bezczelność tego młokosa przekracza  wszelkie granice.,0,116,11,szłapka opluwać marszałek karczewskiego.bezczelność młokos przekraczać wszelki granica
"@anonymized_account @anonymized_account Nic nie wspominacie o Pazinie, dla mnie bardzo duży plus. Każda scena z nią ciekawiła",0,125,17,wspominacie pazina duży plus każdy scena ciekawić
@anonymized_account @anonymized_account Jak będziesz chciał fotke czegoś z nowego FMa to daj znać :),0,100,14,być chcieć fotke coś nowy fma dać znać
"@anonymized_account @anonymized_account Ty tępa kobieto, uważaj na ilość kislu.",1,79,9,tępać kobieto uważać ilość kisl
"@anonymized_account Hehe, do gazu, hehe jeszcze jakieś emotikony wrzuć",1,70,9,hehe gaz hehe jakiś emotikony wrzuć
@anonymized_account @anonymized_account @anonymized_account @anonymized_account 12 mld nie mam zamiaru dyskutowa możejki i skoki,0,128,13,12 miliard zamiar dyskutowy możejka skok
@anonymized_account Pomyliło mu się ze średnią frekwencją na młynie w tym sezonie 😂,0,83,13,pomylić średnia frekwencja młynie sezon 😂
"RT @anonymized_account Dobrze, że są ujawniane te afery, tylko może w końcu ktoś odpowie za te rujnowanie państwa Polskiego za rządów PO-PSL #woro…",0,147,23,ujawniać afer koniec odpowiedzieć rujnować państwo polski rząd psl woro
@anonymized_account @anonymized_account @anonymized_account Musiałeś tych ozdrowieńczych klapsów sporo zebrać skoro tak bredzisz.,0,129,12,musiałeś ozdrowieńczy klaps sporo zebrać skoro bredzić
@anonymized_account @anonymized_account dziwie się że po tak słabym sezonie ceny nie spadły chociażby o 5 zł,0,108,16,dziwiedzieć słaby sezon cena spaść chociażby 5 złoty
"Co teraz zrobi szalona ekipa endeków @anonymized_account @anonymized_account i reszta @anonymized_account to scierwa, zdrajcy, szubienica, bereza?",1,146,16,zrobić szalony ekipa endek reszta scierw zdrajca szubienica bereza
"Wszystko co maszeruje równo, jest równo ubrane i ma rasistowskie hasła won",0,74,12,maszerywać równo równo ubrać rasistowski hasło won
"@anonymized_account @anonymized_account @anonymized_account @anonymized_account Pewnie na skrzydło, bo się dobrze kiwa.",0,119,11,pewnie skrzydło kiwy
@anonymized_account dziwie się że dopiero teraz,0,47,6,dziwie dopiero
"16 X 1978 \n- Kard. Karol Wojtyła zostaje wybrany papieżem #JPII\n- Wanda Rutkiewicz, jako pierwsza Europejka, zdobywa najwyższy szczyt ziemi",0,141,20,16 x 1978 \n kard Karol wojtyć zostawać wybrać papież jpii\n wanda rutkiewicz pierwszy europejka zdobywać najwyższy szczyt ziemia
"RT @anonymized_account Najbardziej podłe i wstrętne przemówienie PAD, jakie słyszałem!\nTeraz, u św. Brygidy.",0,109,13,bardzo podłe wstrętny przemówieć pada słyszałem!\nteraz święty brygida
@anonymized_account ciągle tylko Kałużny i Kałużny,0,50,6,ciągle kałużny kałużny
@anonymized_account I to do ntej potęgi!😁😁,0,42,6,nty potęga 😁 😁
@anonymized_account @anonymized_account I dlatego zabroniliście wejścia masażysty i fizjoterapeuty do strajkujących w sejmie,0,124,13,zabroniliść wejście masażysta fizjoterapeut strajkujących sejm
@anonymized_account @anonymized_account Może @anonymized_account zna i mnie zapozna,0,83,8,znać zapozny
"@anonymized_account Nie widzę oświadczenia o kwestionowaniu oferty Stecherta prze TF, za to widzę że usunęliście waszą informacje na ten temat.",0,143,20,widzieć oświadczenie kwestionować oferta stecherta pra tf widzieć usunęliście wasz informacja temat
Craxa dziwko derby blisko.....  Z GARBARNIA,0,43,6,craxa dziwko derby blisko garbarć
@anonymized_account współczuje rodzinie i znajomym tych trzech dziewczyn bo takie zachowania świadczą o tym jakim się jest człowiekiem,0,134,18,współczować rodzina znajomy trzy dziewczyna zachowanie świadczyć jaki człowiek
No i brawo panowie siatkarze. Kto by się spodziewał po Argentynie i Francji...,0,78,13,brawo pan siatkara spodziewać argentyna francja
"Wow, wow, wow! Wielki szacun, @anonymized_account i @anonymized_account 👏👏👏",0,75,9,wow wow wow wielki szacun 👏 👏 👏
@anonymized_account @anonymized_account @anonymized_account W MW są sami mistrzowie intelektu.,0,94,9,mw sam mistrz intelekt
@anonymized_account Reklamy szamponu na TT jeszcze nie widziałem xD,0,67,9,reklama szampon tt widzieć być xd
@anonymized_account @anonymized_account W jakimś artykule było że GD chce ją zatrzymać w Polkowicach 😂,0,102,14,jakiś artykuł gd zatrzymać polkowiec 😂
@anonymized_account W 15. minucie doleciał z Sewilli.,0,53,7,15 minuta doleciać sewilla
@anonymized_account oczywiście że mniej.Tylko pytanie czy porównujecie się do Wisły czy do europejskich drużyn jak wasz prezes napisał ?,0,136,19,oczywiście mniej.tylko pytanie porównujecie wisła europejski drużyna prezes napisać
"@anonymized_account Hejka, hejka, sejonarka w czwartek o 11 juz do domku",0,72,11,hejka hejka sejonarka czwartek 11 domek
@anonymized_account Teraz to ta kartka rzeczywiście wygląda kuriozalnie.,0,72,8,kartka rzeczywiście wyglądać kuriozalnie
@anonymized_account @anonymized_account Akurat telenowele lubią ciągnąć się w nieskończoność :),0,95,10,akurat telenowele lubić ciągnąć nieskończoność
@anonymized_account Właziłeś panu Kaczyńskiemu w dupę jak byłeś w koalicji !! Falszywcu.,1,88,12,włazić być pan kaczyńskiy dupa być być koalicja falszywc
@anonymized_account brawo za walke 💪 ale trzeba się wziąć w garść bo to trochę inaczej powinno wyglądać :),0,106,18,brawo walke 💪 wziąć garść trochę inaczej wyglądać
Mówi że stare rapsy są całkiem niezle,0,37,7,mówić stary rapsy całkiem niezle
@anonymized_account @anonymized_account a to już wiemy czemu tak lansujesz tego Majeckiego,0,90,11,wiedzieć lansujeć majeckiy
Czemu jakieś randomowe osoby zapraszają mnie do znajomych na fejsie.... przecież ja ich w życiu na oczy nie widziałam,0,117,19,jakiś randomowy osoba zapraszać znajomy fejs życie oko widzieć być
w ogóle jak kupiłam torebkę to nagle znalazłam plecak taki idealny ;),0,69,12,ogół kupiłam torebka nagle znalazłam plecak idealny
@anonymized_account a ja mam prawo zwrócić uwage że to nie tylko o osiągnięcia chodzi bo wtedy np Sebastian Kawa powinien co roku być na podium,0,143,25,prawo zwrócić uwage osiągnięcie chodzić na przykład sebastiana kawa podium
"@anonymized_account @anonymized_account @anonymized_account Kwestia jak będziecie żerować, żebrać, trochę wiary we własne umiejętności. Coś wam rzuci",0,149,16,kwestia być żerować żebrać trochę wiara własny umiejętność rzucić
na kijowe życie najlepsza wódeczka,0,34,5,kijowy życie najlepsza wódeczek
@anonymized_account @anonymized_account Brak argumentów do rzeczowej dyskusji?,0,78,7,brak argument rzeczowy dyskusja
@anonymized_account Po kropce musi być spacja ;-),0,49,7,kropka spacja
#dividetourwarsaw i need to know CO Z AKCJA KTÓRA WŁAŚNIE POWINNA IŚĆ NAM ZAJEBISCIE,0,84,14,dividetourwarsaw need know akcja iść zajebisć
"@anonymized_account No gdzie, wszystko zależało od Lecha w ostatniej kolejce :D",0,79,11,zależeć lecha ostatni kolejka d
RT @anonymized_account #dividetourwarsaw i need to know CO Z AKCJA KTÓRA WŁAŚNIE POWINNA IŚĆ NAM ZAJEBISCIE,0,107,16,dividetourwarsaw need know akcja iść zajebisć
"@anonymized_account @anonymized_account @anonymized_account Na 100%, baca kłaniał się w pas i ogólnie wśród turystów pełna akceptacja",0,133,16,100 baca kłaniać pas ogólnie turysta pełny akceptacja
"@anonymized_account @anonymized_account @anonymized_account \""Jak Kazek Węgrzyn krzyczał w Krakowie \""Wyjazd!\"" to pociągi z dworca głównego ruszały\""",0,150,16,"\""jak kazek węgrzyn krzyczeć krakowie \""wyjazd!\ pociąg dworzec główny ruszały\"
@anonymized_account @anonymized_account A co on mu tam robi przy rozporku? To napewno figura z brązu?,1,101,15,robić rozporek napewno figura brąz
"RT @anonymized_account \""Polska to kraj z dykty i paździerza z postsowieckim społeczeństwem mającym demokrację za fanaberie zachodnich elit\"" made…",0,147,19,"\""polski kraj dykta paździerz postsowiecki społeczeństwo mającym demokracja fanaberia zachodni elit\ made"
"@anonymized_account To nie ksiezyc, to cud! 🙈",0,45,7,ksiezyc cud 🙈
@anonymized_account Mało tego! jeszcze potrafią grozić.!(prof.Centkiewiczowi). A co na to odpowiednie służby?,0,109,12,potrafić grozić.!(prof.centkiewicz odpowiedni służba
@anonymized_account Anka o 3 za mało,0,36,6,anka 3
"@anonymized_account @anonymized_account @anonymized_account Jeden biega wokół trzech Kolumbijczyków, a trzech patrzy. Cudowne.",0,126,12,biegać wokół trzy kolumbijczyk trzy patrzeć cudowny
@anonymized_account Oczywiście porażka będzie równoważna z celem ze pierwsza ósemka to sukces,0,93,12,oczywiście porażka równoważny cel pierwszy ósemka sukces
"@anonymized_account @anonymized_account A właśnie, że jest! 😂",0,61,7,😂
RT @anonymized_account zayn malik aka najselsowniejszy palacz na tej ziemi; a thread,0,84,12,zaynć malik aka najselsowniejszy palacz ziemia thread
@anonymized_account przyznaje racje.Nudny jak pański tygodnik.,0,62,6,przyznawać racje.nudny pański tygodnik
"Szukam osób, które mają kontakt z rodziną gen. Bułak-Bałachowicza. Sprawa  prywatna.",0,84,11,szukać osoba kontakt rodzina generał bułak bałachowiczać sprawa prywatny
@anonymized_account to ty powinienes zdjąć rózowe okulary skoro chcesz tu Stilicia,0,82,11,powinienes zdjąć rózowy okulary skoro chcieć stilicie
@anonymized_account Skacząc na tej skakance szybciej się chudnie.,0,65,8,skaczyć skakanka szybko chudnąć
RT @anonymized_account @anonymized_account Won niemcu. Sprzedawaliscie wszystko jak leciało a teraz wielcy patrioci. Won!,1,121,14,won niemcu sprzedawaliscie leciać wielcy patrioci won
@anonymized_account ja sie bardziej dziwilem niskiej frekwencji na futsalu.To też był niszowy sport ale przynajmniej podobny do piłki nożnej :),0,143,20,dziwil niski frekwencja futsalu.to niszowy sport przynajmniej podobny piłka nożny
Żeby było jasne - ten mundial został przegrany pięć dni temu z Senegalem.,0,73,13,jasny Mundial przegrać pięć dzień senegal
@anonymized_account oby ktoś z Siedlec 🙏,0,40,6,oby siedlec 🙏
@anonymized_account @anonymized_account @anonymized_account A czemu nie o 5 mln ?,0,81,10,5 milion
@anonymized_account Pracownia radiowa jest z dziennikarzem który pracuje na etacie wiec musimy mieć w takich godzinach,0,118,16,pracownia radiowy dziennikarz pracować etat wiec musieć mieć godzina
@anonymized_account głównie dlatego zmieniłem sektor bo te dziadki potrafią obrzydzić mecz i wkurwić @anonymized_account @anonymized_account,0,140,15,głównie zmienić być sektor dziadka potrafić obrzydzić mecz wkurwić
@anonymized_account Może też być kołderka 😍,0,43,6,kołderek 😍
"Dobra siostry, w was jest sila",0,30,6,dobry siostra sila
@anonymized_account @anonymized_account @anonymized_account Traktuj sobie jak chcesz. Mam to gdzieś. Wyraziłem się jasno.,0,121,13,traktować chcieć wyrazić być jasno
"RT @anonymized_account jestem nowa i szukam aktywnych mutualsików🥰\nnie mam żadnych wymagań,chciałabym poznać miłe osóbki\nrt+follow-\u0026gt; fback\n#lis…",0,155,15,nowy szukać aktywny mutualsik 🥰 \nnie wymaganie chcieć by być poznać miły osóbki\nrt+follow \u0026gt fback\n#lis
RT @anonymized_account mam ochotę zostać w łóżku na zawsze kurwa,0,64,10,ochota zostać łóżko kurwa
@anonymized_account Tak jak komendanci mikicji  od Stachowiaka?,0,63,7,komendant mikicja stachowiak
Zaczęłam oglądać film i mówię: o fajny nawet a tu bum reklama,0,61,12,zaczęć być oglądać film mówić fajny bum reklama
@anonymized_account @anonymized_account @anonymized_account a ja nie wierze że piszesz teksty że Cupiał o wszystkim decyduje a później wynika co innego,0,151,20,wiara piszieć tekst cupiać decydować późno wynikać inny
Mój brat z żona i córkami mieli takie super kostiumy na halloween awwwwww,0,73,13,brat żona córk mieć super kostium halloween awwwwww
@anonymized_account Zgadza się ale my takich sytuacji jak wasz swider mieliśmy przynajmniej 3,0,93,13,zgadzać sytuacja swider mieć być przynajmniej 3
Drugie copy było reklamą aparatu i brzmiało show it all i tez było super,0,72,14,drugi copa reklama aparat brzmiać show it all teza super
"@anonymized_account @anonymized_account Nie no, nie ma 😁 Kończymy, fakt.\nhttps://t.co/9PMxwN1XeV",0,97,9,😁 kończyć fakt.\nhttps://t.co/9pmxwn1xev
@anonymized_account @anonymized_account Mam nadzieję że mu wpierdolili porządnie,1,80,8,nadzieja wpierdolić porządnie
@anonymized_account @anonymized_account Jak to jak? Jaki wyborca taki wybrany.,0,78,9,wyborca wybrać
@anonymized_account Czepiasz się jakby Termalike albo Sandecje ktoś wybierał na drużyne roku.,0,93,12,czepiać termalike sandecja wybierać drużyny
"@anonymized_account Napierdalaja przysiady, cukier  rośnie",0,58,5,napierdalajo przysiad cukier rosnąć
@anonymized_account Kto mieczem wojuje od pochwy ginie @anonymized_account,0,74,8,miecz wojywać pochwy ginąć
@anonymized_account ciekawe że np u Gusicia nie widział że ma zero umiejętności,0,79,12,ciekawy na przykład gusicia widzieć zero umiejętność
@anonymized_account @anonymized_account @anonymized_account @anonymized_account Był testowany to zagrał więcej minut. Używaj czasem mózgu.,1,138,13,testować zagrać minuta używać mózg
@anonymized_account @anonymized_account @anonymized_account co by wybronił ? Znasz przepisy ?,0,93,10,wybronić znać przepis
jakis chlopak w klasie:a-\nwszystkie dziewczyny:ahahahahhaaHahahahahahahHAHAHAHAHHAHAHAHAHAH,0,92,5,chlopak klasa \nwszystki dziewczyna ahahahahhaahahahahahahahhahahahahhahahahahah
"@anonymized_account @anonymized_account Co to znaczy, że nie wiadomo, czy będzie zbierał rezultaty swych wysiłków XD",0,116,15,znaczyć wiadomo zbierać rezultat swój wysiłek xd
@anonymized_account Od @anonymized_account należało by wymagać bardziej wnikliwych oceń. A nie bezrefleksyjnego powtarzania obiegowych opinii.,0,142,15,należeć wymagać wnikliwy ocenie bezrefleksyjny powtarzać obiegowych opinia
@anonymized_account Przyjadę z daleka zobaczyć z bliska!,0,56,7,przyjada daleki zobaczyć bliski
"RT @anonymized_account Uwaga uwaga. Prezes teraz na plaży w Kątach Rybackich, z łopatką, ale bez wiaderka przekopuje Mierzeję Wiślaną.",0,134,19,uwaga uwagać prezes plaża kąt rybacki łopatka wiaderko przekopywać mierzeja wiślany
@anonymized_account @anonymized_account Będzie wstęp dla kibiców ?,0,66,7,wstęp kibic
"@anonymized_account Napij  się wody, pij, pij, aż przestanie dzialać choroba",0,76,10,napij woda pić pić przestać dzialać choroba
@anonymized_account Dlaczego one nie śpio? 🤔,0,44,6,śpio 🤔
@anonymized_account @anonymized_account Patologia to jesteś Ty. Mentalna patologia.,0,83,8,patologia być mentalny patologia
"@anonymized_account @anonymized_account To chyba \""tweetów\"" zamiast \""transferów\"" miało być",0,93,9,"chyba \""tweetów\ zamiast \""transferów\ mieć"
@anonymized_account Śmiej się  śmiej. To wcale nie jest śmieszne.,0,65,9,śmiać śmi wcale śmieszny
jebać studia idę spać kurwa ja pierdole,0,39,7,jebać studia iść spać kurwa pierdola
@anonymized_account Cracovia wygrała JEDEN mecz w sezonie i była faworytem ? 😂,0,78,12,cracovia wygrać mecz sezon faworyt 😂
@anonymized_account duch BUNTU w całej okazałości,0,49,6,duch bunt cały okazałość
RT @anonymized_account Młody @anonymized_account dzisiaj się żeni. Najlepszego dla Młodej Pary👍🏻👍🏻🥂🥂,0,100,11,młody żeny dobry młody para 👍 🏻 👍 🏻 🥂 🥂
"@anonymized_account @anonymized_account No pewnie, \""must have\"" na insta  😁",0,76,9,"pewnie \""must have\ insto 😁"
@anonymized_account a nie powinno być na odwrót ?;),0,51,8,odwrót
"@anonymized_account To tak jak w Wiśle Carlitos, Brawo My 😉",0,59,10,wiśle carlitos brawo 😉
"Zamieszanie wokół Tomasza Zimocha co najmniej takie, jakby ktokolwiek jeszcze słuchał relacji z meczów w radiu.",0,111,16,zamieszanie wokół tomasz zimochać mało słuchać relacja mecz radio
"@anonymized_account @anonymized_account Ja zagadam bezprawie ustanowiome jako prawo, nie jest prawem",0,100,11,zagadać bezprawie ustanowiomy prawo prawo
@anonymized_account Słyszałem że Wrocławskie Zoo zakupiło ten rzadki okaz samicy słownicy- motylicy😀😁😁,0,102,12,słyszeć być wrocławski zoo zakupić rzadki okaz samica słownica motylicy 😀 😁 😁
@anonymized_account Wy się zjednoczyliście z faszystami z połowy Europy. Kpromitacja level hard.,0,96,12,zjednoczyliście faszyst połowa Europa kpromitacja level hard
@anonymized_account raczej w wersji na ubogo bo 98% treści niedostępne,0,70,10,raczej wersja ubogo 98 treść niedostępny
"@anonymized_account @anonymized_account Jedyny prezydent na świecie, który jest samodzielny wyłącznie w łazience (mam nadzieję)",0,127,14,jedyny prezydent świat samodzielny wyłącznie łazienka nadzieja
@anonymized_account @anonymized_account Jedynie Twarowski mówił że Wisła może namieszać w fazie finałowej,0,105,12,twarowska mówić wisła namieszać faza finałowy
"@anonymized_account Co za człowiek, ciągle tylko o.sobie i swoich problemach.",0,77,10,człowiek ciągle o.soba swój problem
"@anonymized_account umar :/ Ale Bartek to czarodziej, jeszcze się nie poddaje!  @anonymized_account",0,99,12,umar Bartek czarodzi poddawać
@anonymized_account To powiedz czy miałaś ciepła wodę wczoraj 😂😂😂,0,65,9,powiedzieć miać być ciepły woda wczoraj 😂 😂 😂
"RT @anonymized_account jak ludzie co mają 17-19 lat to robią, że wydają książki, tell me, też chcę :-:",0,102,18,człowiek 17 19 rok robić wydać książka tell me chcieć
@anonymized_account a co powiesz o ich składzie ? Chyba dupy nie urywa :) Myślałem że mocniejszy skład zbudują,0,110,18,powiedzieć skład chyba dupa urywać myśleć być mocny skład zbudować
@anonymized_account Antoni Rybczyński. No proszę 😎🖒,0,51,6,Antoni rybczyński prosić 😎 🖒
"@anonymized_account Niby chcemy ryzykować w każdym meczu, a zawsze rozpoczynamy z 3 defensywnymi pomocnikami.",0,109,14,niby chcieć ryzykować każdy mecz rozpoczynać 3 defensywny pomocnikami
@anonymized_account czyli wg Pani wolno niszczyć cudze mienie....wstyd.  I nie ma co się dziwić ze macie z 2 % poparcie....a będzie i mniej,0,139,23,wg wolno niszczyć cudzy mienie wstyd dziwić mieć 2 poparcie mało
"@anonymized_account @anonymized_account Chyba cię się mózg załadował już od tych bredni Mateusza, bo zaczynasz bredzić tak samo jak on",1,134,19,chyba mózg załadować brednia mateuy zaczynać bredzić samo
"@anonymized_account A tak, w twoim przypadku to do Tworek",0,57,9,przypadek tworek
"RT @anonymized_account 22 mosty Morawieckiego to ciąg dalszy Paragrafu 22, tylko mniej realistyczne.",0,100,13,22 most morawieckiy ciąg daleki paragrafu 22 mało realistyczny
"@anonymized_account @anonymized_account Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔",0,130,17,koń uśmieć tvn24 tvn wolny media perfidny łgarstwo słyszeć być 🤔
@anonymized_account @anonymized_account a są jakieś przecieki odnośnie Guzmicsa ?,0,81,9,jakiś przecieka odnośnie guzmicsa
@anonymized_account 😍😍 tylko gdzie takie słoneczko będą :(,0,58,8,😍 😍 słoneczko
"@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Ej bez takich insynuacji, bo się obraże :)",0,142,13,ej insynuacja obrazać
@anonymized_account Hehehehehe. Róża nawet niezła była.I co z niej wyrosło!😁😁😁,0,78,10,hehehehehe Róża niezła była.i wyrosnąć 😁 😁 😁
@anonymized_account jeżeli porównujesz zjedzenie kebaba do oplucia sędziego to nie ma o czym rozmawiać,0,102,14,porównować zjedzć kebaba oplucia sędzia co rozmawiać
Zdałam prawko kurw ludzie ja pierdole,0,37,6,zdać być prawko kurw człowiek pierdola
@anonymized_account @anonymized_account A jednym z nich są Polacy.,0,66,8,Polak
Kocham dostawać wiadomości na dzień dobry i dobranoc rozpływam się,0,66,10,kochać dostawać wiadomość dzień dobry dobranoc rozpływać
"@anonymized_account @anonymized_account Jest najlepszy! Dziękujemy, przekażę ;-)",0,80,7,dobry dziękować przekazać
@anonymized_account Trochę tak ale niewiele ;),0,46,6,trochę niewiele
@anonymized_account Kur... Wyszlem na 40 sek kromke zrobić przychodzę a a tu amica szaleje 0-1,0,94,15,kura wyszl 40 sek kromke zrobić przychodza amica szaleć 0 1
"@anonymized_account Sądziłam, że odkąd istnieje internet, takie rzeczy już się nie zdarzają 😨",0,93,13,sądzić być odkąd istnieć internet rzecz zdarzać 😨
"@anonymized_account @anonymized_account @anonymized_account Widzę, że sami się znajdują.",0,88,8,widzieć sam znajdować
@anonymized_account Zgoda. Tylko dlaczego nie dotyczy to kościelnych urzędników?,0,80,9,zgoda dotyczyć kościelny urzędnik
"@anonymized_account @anonymized_account Ale co to za roznica? Dajesz tyle ile chce Wisla i negocjujesz z piłkarzem, żeby to Ciebie wybrał. To mnie dziwi :)",0,155,24,roznic dawać tyle wisl negocjować piłkarz wybrać dziwić
"@anonymized_account Dziękuję, tylko przy moim trybie pracy najwygodniejsze są jednak punkty w centrach handlowych czynne do 22:00.",0,130,17,dziękować tryb praca najwygodniejsze punkt centrum handlowy czynny 22:00
"@anonymized_account A to pewnie nic takiego, na całe Twoje szczęście.",0,69,10,pewnie taki cały szczęście
@anonymized_account Tak jest. A Kaczyński poleciał rozpocząć kampanię wyborczą przed wyborami prezydenckimi.,0,108,12,kaczyński polecieć rozpocząć kampania wyborczy wybory prezydencki
@anonymized_account To już ich nie dobijaj :P,0,45,7,dobijać :p
@anonymized_account no to super dziennikarz przeprowadzał wywiad :),0,67,8,super dziennikarz przeprowadzać wywiad
@anonymized_account @anonymized_account statystyki są słabe ale przychodzi taki Necid co strzelił jedną bramke i od razu gwiazda,0,128,17,statystyka słaby przychodzić necid strzelić jeden bramke raz gwiazda
"RT @anonymized_account Parę lat temu w moim byłym radiu kolega zapytał słuchaczkę:\n- Czy Boże Ciało jest świętem ruchomym?\n- Tak, bo chodzi si…",0,145,22,parę rok były radio kolega zapytać słuchaczkę:\n boży ciało święt ruchomym?\n chodzić si
@anonymized_account I kurwa mamy ta wolność,0,43,6,kurwa wolność
"@anonymized_account Wszędzie widzi komunistów, chyba tatuś zrobił mu krzywdę",1,76,9,wszędzie widzieć komunista chyba tatuś zrobić krzywda
"@anonymized_account @anonymized_account Tak\nDla Polaka to potrzeba:\nJebać #PiSkomuna trzeba!\nNa Twitterze, w Internecie,\nGdzie żerują te ich śmiecie!",1,153,15,"tak\ndla polaka potrzeba:\njebać piskomun trzeba!\nna twitterz internecie,\ngdzie żerować śmiecie"
"@anonymized_account Tak kilka kartek, paczkę, nawet książkę z losowania :’)",0,75,10,kartka paczka książka losowanie
"@anonymized_account @anonymized_account zauważyli wypalenie i się pożegnali na szczęście ulotki możesz rozdawać, tak więc głowa do góry",0,135,17,zauważyć wypalenie pożegnać szczęście ulotka móc rozdawać głowa góra
"W 2013 roku rząd Tuska ukrył aż 31 mld zł deficytu, a w 2014 - 28 mld zł! #OddajcieKasę ”https://t.co/lHEn8ek91H",0,112,20,2013 rząd tuska ukryć 31 miliard złoty deficyt 2014 28 miliard złoty oddajciekasa https://t.co/lhen8ek91h
Euro Polska przyjmie z chęcią!!\nKażde ilości ❗\nNajlepiej w postaci reparacji od Niemiec ❗\n\n#BezRetuszu,0,106,13,euro Polska przyjąć chęcią!!\nkażdy ilość ❗ \nnajlepi postać reparacja niemiec ❗ \n\n#bezretusz
"RT @anonymized_account @anonymized_account Lepiej już proszę nie składać tych życzeń,skoro wczoraj wyzywał Pan nas od współczesnych  bolszewików!  Hipokryzja…",0,158,18,dobrze prosić składać życzenie skoro wczoraj wyzywać współczesny bolszewik hipokryzja
"@anonymized_account @anonymized_account Ty chyba masz frazę \""Zieliński\"" w wyszukiwarce wpisaną i tylko odświeżasz 😁",0,117,14,"chyba mieć fraza \""zieliński\ wyszukiwarka wpisać odświeżać 😁"
@anonymized_account Poczytaj kobieto coś z historii to się dowiesz kto był Targowicą. Bo na razie robisz z siebie idiotkę.,0,122,19,poczytać kobieto historia dowieć targowica robić siebie idiotka
@anonymized_account Z niego taki patriota i kompetentny polityk jak Ciebie niezależny i kompetentny dziennikarz. Jeden wart drugiego.,0,133,17,patriota kompetentny polityk niezależny kompetentny dziennikarz wart drugi
"@anonymized_account 4,5 k kibiców we Wrocławiu",0,46,6,"4,5 k kibic wrocław"
"Ambitni , ale malo prawdziwi",0,28,5,ambitny malo prawdziwy
